team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent,sprint_speed
Arizona Diamondbacks,away,Lourdes Gurriel Jr.,666971,777002,"Gurriel Jr., Lourdes",L,118,108,30,23,4,0,3,9,10,0.2777777777777778,0.3981481481481481,27.0
Arizona Diamondbacks,away,Lourdes Gurriel Jr.,666971,777002,"Gurriel Jr., Lourdes",R,293,264,63,36,16,2,9,19,46,0.2386363636363636,0.4166666666666667,27.0
Arizona Diamondbacks,away,Eugenio Suárez,553993,777002,"Suárez, Eugenio",L,111,91,17,3,3,0,11,14,29,0.1868131868131868,0.5824175824175825,26.4
Arizona Diamondbacks,away,Eugenio Suárez,553993,777002,"Suárez, Eugenio",R,310,274,76,36,15,0,25,27,82,0.2773722627737226,0.6058394160583942,26.4
Arizona Diamondbacks,away,Randal Grichuk,545341,777002,"Grichuk, Randal",L,120,112,26,10,10,1,5,7,29,0.2321428571428571,0.4732142857142857,26.9
Arizona Diamondbacks,away,Randal Grichuk,545341,777002,"Grichuk, Randal",R,65,58,16,9,5,0,2,2,10,0.2758620689655172,0.4655172413793103,26.9
Arizona Diamondbacks,away,Tristin English,663536,777002,"English, Tristin",R,7,7,0,0,0,0,0,0,4,0.0,0.0,0.0
Arizona Diamondbacks,away,James McCann,543510,777002,"McCann, James",L,17,13,4,4,0,0,0,4,4,0.3076923076923077,0.3076923076923077,26.3
Arizona Diamondbacks,away,James McCann,543510,777002,"McCann, James",R,27,23,8,4,2,0,2,4,6,0.3478260869565217,0.6956521739130435,26.3
Arizona Diamondbacks,away,Blaze Alexander,677942,777002,"Alexander, Blaze",L,29,23,4,2,2,0,0,4,6,0.1739130434782608,0.2608695652173913,28.7
Arizona Diamondbacks,away,Blaze Alexander,677942,777002,"Alexander, Blaze",R,18,16,6,4,2,0,0,1,6,0.375,0.5,28.7
Arizona Diamondbacks,away,Geraldo Perdomo,672695,777002,"Perdomo, Geraldo",L,137,112,40,32,6,0,2,16,12,0.3571428571428571,0.4642857142857143,27.0
Arizona Diamondbacks,away,Geraldo Perdomo,672695,777002,"Perdomo, Geraldo",R,323,261,66,40,16,2,8,50,39,0.2528735632183908,0.421455938697318,27.0
Cincinnati Reds,home,TJ Friedl,670770,777000,"Friedl, TJ",L,127,106,26,21,1,1,3,15,21,0.2452830188679245,0.3584905660377358,26.8
Cincinnati Reds,home,TJ Friedl,670770,777000,"Friedl, TJ",R,320,267,75,53,14,1,7,45,48,0.2808988764044944,0.4194756554307116,26.8
Cincinnati Reds,home,Matt McLain,680574,777000,"McLain, Matt",L,94,80,18,12,4,0,2,13,28,0.225,0.35,29.2
Cincinnati Reds,home,Matt McLain,680574,777000,"McLain, Matt",R,290,254,56,40,7,0,9,29,73,0.2204724409448819,0.3543307086614173,29.2
Cincinnati Reds,home,Elly De La Cruz,682829,777000,"De La Cruz, Elly",L,139,130,31,23,3,0,5,7,43,0.2384615384615384,0.3769230769230769,29.1
Cincinnati Reds,home,Elly De La Cruz,682829,777000,"De La Cruz, Elly",R,301,263,81,47,18,3,13,35,65,0.3079847908745247,0.5475285171102662,29.1
Cincinnati Reds,home,Austin Hays,669720,777000,"Hays, Austin",L,56,49,18,7,6,3,2,6,10,0.3673469387755102,0.7346938775510204,27.4
Cincinnati Reds,home,Austin Hays,669720,777000,"Hays, Austin",R,167,151,40,28,3,1,8,11,44,0.2649006622516556,0.4569536423841059,27.4
Cincinnati Reds,home,Gavin Lux,666158,777000,"Lux, Gavin",L,51,43,8,7,1,0,0,7,15,0.1860465116279069,0.2093023255813953,27.8
Cincinnati Reds,home,Gavin Lux,666158,777000,"Lux, Gavin",R,283,247,72,51,16,1,4,31,62,0.291497975708502,0.4129554655870445,27.8
Cincinnati Reds,home,Tyler Stephenson,663886,777000,"Stephenson, Tyler",L,58,47,14,7,5,0,2,9,13,0.2978723404255319,0.5319148936170213,26.7
Cincinnati Reds,home,Tyler Stephenson,663886,777000,"Stephenson, Tyler",R,179,160,36,23,7,0,6,14,71,0.225,0.38125,26.7
Cincinnati Reds,home,Spencer Steer,668715,777000,"Steer, Spencer",L,92,86,18,12,4,0,2,5,28,0.2093023255813953,0.3255813953488372,28.3
Cincinnati Reds,home,Spencer Steer,668715,777000,"Steer, Spencer",R,285,258,67,46,11,1,9,25,59,0.2596899224806202,0.4147286821705426,28.3
Cincinnati Reds,home,Jake Fraley,641584,777000,"Fraley, Jake",L,7,5,1,1,0,0,0,2,1,0.2,0.2,28.3
Cincinnati Reds,home,Jake Fraley,641584,777000,"Fraley, Jake",R,156,134,35,23,7,0,5,20,30,0.2611940298507462,0.4253731343283582,28.3
Cincinnati Reds,home,Noelvi Marte,682622,777000,"Marte, Noelvi",L,42,35,7,7,0,0,0,6,11,0.2,0.2,29.1
Cincinnati Reds,home,Noelvi Marte,682622,777000,"Marte, Noelvi",R,91,82,28,14,7,1,6,5,12,0.3414634146341463,0.6707317073170732,29.1
Boston Red Sox,home,Rob Refsnyder,608701,776998,"Refsnyder, Rob",L,99,80,23,11,7,0,5,14,27,0.2875,0.5625,26.5
Boston Red Sox,home,Rob Refsnyder,608701,776998,"Refsnyder, Rob",R,38,35,8,6,1,0,1,3,10,0.2285714285714285,0.3428571428571428,26.5
Boston Red Sox,home,Alex Bregman,608324,776998,"Bregman, Alex",L,68,56,20,15,3,0,2,12,10,0.3571428571428571,0.5178571428571429,26.2
Boston Red Sox,home,Alex Bregman,608324,776998,"Bregman, Alex",R,188,170,46,20,16,0,10,15,34,0.2705882352941176,0.5411764705882353,26.2
Boston Red Sox,home,Roman Anthony,701350,776998,"Anthony, Roman",L,51,48,10,9,0,0,1,3,22,0.2083333333333333,0.2708333333333333,27.7
Boston Red Sox,home,Roman Anthony,701350,776998,"Anthony, Roman",R,102,81,23,10,12,0,1,20,19,0.2839506172839506,0.4691358024691358,27.7
Boston Red Sox,home,Romy Gonzalez,663853,776998,"Gonzalez, Romy",L,91,81,29,15,7,2,5,7,25,0.3580246913580246,0.6790123456790124,28.1
Boston Red Sox,home,Romy Gonzalez,663853,776998,"Gonzalez, Romy",R,81,74,18,8,8,1,1,3,19,0.2432432432432432,0.4189189189189189,28.1
Boston Red Sox,home,Trevor Story,596115,776998,"Story, Trevor",L,108,101,26,18,4,0,4,4,30,0.2574257425742574,0.4158415841584158,28.5
Boston Red Sox,home,Trevor Story,596115,776998,"Story, Trevor",R,305,285,72,50,11,0,11,18,85,0.2526315789473684,0.4070175438596491,28.5
Boston Red Sox,home,Carlos Narváez,665966,776998,"Narváez, Carlos",L,94,77,21,13,4,0,4,14,19,0.2727272727272727,0.4805194805194805,25.8
Boston Red Sox,home,Carlos Narváez,665966,776998,"Narváez, Carlos",R,210,189,51,30,16,0,5,17,56,0.2698412698412698,0.4338624338624338,25.8
Boston Red Sox,home,Jarren Duran,680776,776998,"Duran, Jarren",L,152,140,29,19,5,4,1,7,45,0.2071428571428571,0.3214285714285714,29.1
Boston Red Sox,home,Jarren Duran,680776,776998,"Duran, Jarren",R,312,269,77,43,20,6,8,36,68,0.2862453531598513,0.4944237918215613,29.1
Boston Red Sox,home,Ceddanne Rafaela,678882,776998,"Rafaela, Ceddanne",L,112,102,24,12,5,1,6,8,21,0.2352941176470588,0.4803921568627451,29.0
Boston Red Sox,home,Ceddanne Rafaela,678882,776998,"Rafaela, Ceddanne",R,259,238,68,43,16,1,8,13,48,0.2857142857142857,0.4621848739495798,29.0
Boston Red Sox,home,Abraham Toro,647351,776998,"Toro, Abraham",L,54,46,13,10,3,0,0,4,9,0.2826086956521739,0.3478260869565217,27.7
Boston Red Sox,home,Abraham Toro,647351,776998,"Toro, Abraham",R,157,141,39,25,9,0,5,11,24,0.2765957446808511,0.4468085106382978,27.7
St. Louis Cardinals,home,Brendan Donovan,680977,776992,"Donovan, Brendan",L,141,125,28,19,7,0,2,13,25,0.224,0.328,26.5
St. Louis Cardinals,home,Brendan Donovan,680977,776992,"Donovan, Brendan",R,280,249,82,58,17,0,7,26,31,0.3293172690763052,0.4819277108433735,26.5
St. Louis Cardinals,home,Iván Herrera,671056,776992,"Herrera, Iván",L,63,49,18,9,3,0,6,12,9,0.3673469387755102,0.7959183673469388,26.5
St. Louis Cardinals,home,Iván Herrera,671056,776992,"Herrera, Iván",R,148,133,41,33,5,0,3,12,32,0.3082706766917293,0.4135338345864661,26.5
St. Louis Cardinals,home,Alec Burleson,676475,776992,"Burleson, Alec",L,71,67,14,11,1,0,2,3,11,0.208955223880597,0.3134328358208955,25.4
St. Louis Cardinals,home,Alec Burleson,676475,776992,"Burleson, Alec",R,278,249,77,50,17,0,10,22,33,0.3092369477911647,0.4979919678714859,25.4
St. Louis Cardinals,home,Willson Contreras,575929,776992,"Contreras, Willson",L,119,103,29,13,11,0,5,15,29,0.2815533980582524,0.5339805825242718,27.4
St. Louis Cardinals,home,Willson Contreras,575929,776992,"Contreras, Willson",R,297,261,68,42,17,0,9,33,75,0.2605363984674329,0.4291187739463601,27.4
St. Louis Cardinals,home,Nolan Arenado,571448,776992,"Arenado, Nolan",L,104,96,29,22,5,0,2,5,6,0.3020833333333333,0.4166666666666667,25.5
St. Louis Cardinals,home,Nolan Arenado,571448,776992,"Arenado, Nolan",R,272,244,54,35,10,1,8,21,30,0.221311475409836,0.3688524590163934,25.5
St. Louis Cardinals,home,Masyn Winn,691026,776992,"Winn, Masyn",L,134,122,31,23,7,0,1,11,25,0.2540983606557377,0.3360655737704918,28.4
St. Louis Cardinals,home,Masyn Winn,691026,776992,"Winn, Masyn",R,257,233,64,44,14,0,6,19,42,0.2746781115879828,0.4120171673819742,28.4
St. Louis Cardinals,home,Jordan Walker,691023,776992,"Walker, Jordan",L,67,61,13,11,1,0,1,4,25,0.2131147540983606,0.2786885245901639,28.7
