team,side,player_name_x,player_id,game_id,player_name_y,Pitcher Handedness,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,walks,strikeouts,batting_average,slugging_percentage
Chicago Cubs,away,Pete Crow-Armstrong,691718,777122,"Crow-Armstrong, Pete",R,266.0,243.0,77.0,38.0,17.0,3.0,19.0,16.0,51.0,0.3168724279835391,0.6460905349794238
Chicago Cubs,away,Carson Kelly,608348,777122,"Kelly, Carson",L,76.0,66.0,16.0,10.0,3.0,1.0,2.0,9.0,10.0,0.2424242424242424,0.4090909090909091
Chicago Cubs,away,Carson Kelly,608348,777122,"Kelly, Carson",R,150.0,122.0,36.0,19.0,7.0,0.0,10.0,23.0,27.0,0.2950819672131147,0.5983606557377049
Chicago Cubs,away,Ian Happ,664023,777122,"Happ, Ian",L,121.0,105.0,25.0,18.0,5.0,0.0,2.0,16.0,30.0,0.238095238095238,0.3428571428571428
Chicago Cubs,away,Ian Happ,664023,777122,"Happ, Ian",R,268.0,228.0,51.0,31.0,10.0,0.0,10.0,33.0,57.0,0.2236842105263158,0.3991228070175439
Chicago Cubs,away,Dansby Swanson,621020,777122,"Swanson, Dansby",L,94.0,84.0,21.0,14.0,1.0,1.0,5.0,7.0,28.0,0.25,0.4642857142857143
Chicago Cubs,away,Dansby Swanson,621020,777122,"Swanson, Dansby",R,294.0,268.0,68.0,46.0,11.0,1.0,10.0,18.0,75.0,0.2537313432835821,0.4141791044776119
Chicago Cubs,away,Nico Hoerner,663538,777122,"Hoerner, Nico",L,90.0,85.0,30.0,19.0,7.0,2.0,2.0,4.0,3.0,0.3529411764705882,0.5529411764705883
Chicago Cubs,away,Nico Hoerner,663538,777122,"Hoerner, Nico",R,286.0,253.0,69.0,56.0,11.0,1.0,1.0,22.0,23.0,0.2727272727272727,0.3359683794466403
Chicago Cubs,away,Vidal Bruján,660644,777122,"Bruján, Vidal",L,6.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.1666666666666666,0.1666666666666666
Chicago Cubs,away,Vidal Bruján,660644,777122,"Bruján, Vidal",R,30.0,29.0,5.0,2.0,3.0,0.0,0.0,1.0,6.0,0.1724137931034483,0.2758620689655172
Cincinnati Reds,home,TJ Friedl,670770,777128,"Friedl, TJ",L,110.0,94.0,23.0,19.0,1.0,1.0,2.0,11.0,18.0,0.2446808510638297,0.3404255319148936
Cincinnati Reds,home,TJ Friedl,670770,777128,"Friedl, TJ",R,298.0,251.0,72.0,51.0,14.0,1.0,6.0,40.0,47.0,0.2868525896414343,0.4223107569721115
Cincinnati Reds,home,Matt McLain,680574,777128,"McLain, Matt",L,80.0,67.0,13.0,8.0,3.0,0.0,2.0,12.0,23.0,0.1940298507462686,0.3283582089552239
Cincinnati Reds,home,Matt McLain,680574,777128,"McLain, Matt",R,271.0,237.0,51.0,36.0,7.0,0.0,8.0,28.0,72.0,0.2151898734177215,0.3459915611814346
Cincinnati Reds,home,Elly De La Cruz,682829,777128,"De La Cruz, Elly",L,123.0,115.0,28.0,20.0,3.0,0.0,5.0,6.0,37.0,0.2434782608695652,0.4
Cincinnati Reds,home,Elly De La Cruz,682829,777128,"De La Cruz, Elly",R,280.0,248.0,76.0,46.0,14.0,3.0,13.0,30.0,63.0,0.3064516129032258,0.5443548387096774
Cincinnati Reds,home,Austin Hays,669720,777128,"Hays, Austin",L,45.0,40.0,15.0,5.0,6.0,3.0,1.0,4.0,7.0,0.375,0.75
Cincinnati Reds,home,Austin Hays,669720,777128,"Hays, Austin",R,142.0,131.0,33.0,22.0,3.0,1.0,7.0,6.0,42.0,0.2519083969465648,0.4503816793893129
Cincinnati Reds,home,Spencer Steer,668715,777128,"Steer, Spencer",L,82.0,76.0,18.0,12.0,4.0,0.0,2.0,5.0,26.0,0.2368421052631578,0.3684210526315789
Cincinnati Reds,home,Spencer Steer,668715,777128,"Steer, Spencer",R,265.0,241.0,62.0,41.0,11.0,1.0,9.0,22.0,58.0,0.2572614107883817,0.4232365145228215
Cincinnati Reds,home,Noelvi Marte,682622,777128,"Marte, Noelvi",L,30.0,24.0,6.0,6.0,0.0,0.0,0.0,5.0,7.0,0.25,0.25
Cincinnati Reds,home,Noelvi Marte,682622,777128,"Marte, Noelvi",R,70.0,65.0,21.0,9.0,5.0,1.0,6.0,2.0,8.0,0.3230769230769231,0.7076923076923077
Cincinnati Reds,home,Tyler Stephenson,663886,777128,"Stephenson, Tyler",L,49.0,39.0,11.0,6.0,3.0,0.0,2.0,8.0,12.0,0.282051282051282,0.5128205128205128
Cincinnati Reds,home,Tyler Stephenson,663886,777128,"Stephenson, Tyler",R,162.0,144.0,32.0,21.0,7.0,0.0,4.0,14.0,65.0,0.2222222222222222,0.3541666666666667
Cincinnati Reds,home,Santiago Espinal,669289,777128,"Espinal, Santiago",L,97.0,89.0,27.0,18.0,9.0,0.0,0.0,7.0,7.0,0.3033707865168539,0.4044943820224719
Cincinnati Reds,home,Santiago Espinal,669289,777128,"Espinal, Santiago",R,177.0,158.0,36.0,33.0,3.0,0.0,0.0,11.0,22.0,0.2278481012658227,0.2468354430379747
Cincinnati Reds,home,Connor Joe,656582,777128,"Joe, Connor",L,30.0,26.0,4.0,3.0,1.0,0.0,0.0,3.0,6.0,0.1538461538461538,0.1923076923076923
Cincinnati Reds,home,Connor Joe,656582,777128,"Joe, Connor",R,39.0,33.0,8.0,5.0,3.0,0.0,0.0,3.0,11.0,0.2424242424242424,0.3333333333333333
Colorado Rockies,away,Tyler Freeman,671289,777128,"Freeman, Tyler",L,53.0,48.0,11.0,7.0,4.0,0.0,0.0,4.0,7.0,0.2291666666666666,0.3125
Colorado Rockies,away,Tyler Freeman,671289,777128,"Freeman, Tyler",R,130.0,107.0,41.0,32.0,7.0,1.0,1.0,20.0,10.0,0.3831775700934579,0.4953271028037383
Colorado Rockies,away,Mickey Moniak,666160,777128,"Moniak, Mickey",L,36.0,32.0,7.0,5.0,1.0,0.0,1.0,4.0,11.0,0.21875,0.34375
Colorado Rockies,away,Mickey Moniak,666160,777128,"Moniak, Mickey",R,207.0,194.0,51.0,25.0,8.0,6.0,12.0,11.0,49.0,0.2628865979381443,0.5515463917525774
Colorado Rockies,away,Michael Toglia,669911,777128,"Toglia, Michael",L,88.0,81.0,19.0,9.0,7.0,1.0,2.0,4.0,25.0,0.2345679012345679,0.419753086419753
Colorado Rockies,away,Michael Toglia,669911,777128,"Toglia, Michael",R,212.0,189.0,37.0,22.0,7.0,0.0,8.0,21.0,90.0,0.1957671957671957,0.3597883597883597
Colorado Rockies,away,Ryan McMahon,641857,777128,"McMahon, Ryan",L,94.0,84.0,18.0,13.0,3.0,0.0,2.0,10.0,30.0,0.2142857142857142,0.3214285714285714
Colorado Rockies,away,Ryan McMahon,641857,777128,"McMahon, Ryan",R,278.0,239.0,51.0,29.0,10.0,1.0,11.0,35.0,89.0,0.2133891213389121,0.401673640167364
Colorado Rockies,away,Brenton Doyle,686668,777128,"Doyle, Brenton",L,87.0,76.0,26.0,18.0,4.0,1.0,3.0,9.0,17.0,0.3421052631578947,0.5394736842105263
Colorado Rockies,away,Brenton Doyle,686668,777128,"Doyle, Brenton",R,240.0,223.0,35.0,22.0,8.0,1.0,4.0,13.0,68.0,0.1569506726457399,0.2556053811659193
Colorado Rockies,away,Yanquiel Fernández,692585,777128,"Fernández, Yanquiel",L,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Colorado Rockies,away,Yanquiel Fernández,692585,777128,"Fernández, Yanquiel",R,23.0,23.0,8.0,6.0,2.0,0.0,0.0,0.0,4.0,0.3478260869565217,0.4347826086956521
Colorado Rockies,away,Kyle Farmer,571657,777128,"Farmer, Kyle",L,80.0,73.0,15.0,10.0,3.0,0.0,2.0,7.0,17.0,0.2054794520547945,0.3287671232876712
Colorado Rockies,away,Kyle Farmer,571657,777128,"Farmer, Kyle",R,137.0,128.0,29.0,16.0,11.0,0.0,2.0,5.0,31.0,0.2265625,0.359375
Colorado Rockies,away,Austin Nola,543592,777128,"Nola, Austin",L,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colorado Rockies,away,Austin Nola,543592,777128,"Nola, Austin",R,9.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.125,0.125
Colorado Rockies,away,Ryan Ritter,690022,777128,"Ritter, Ryan",L,26.0,24.0,9.0,7.0,2.0,0.0,0.0,1.0,6.0,0.375,0.4583333333333333
Colorado Rockies,away,Ryan Ritter,690022,777128,"Ritter, Ryan",R,76.0,65.0,12.0,8.0,1.0,2.0,1.0,7.0,27.0,0.1846153846153846,0.3076923076923077
Detroit Tigers,home,Colt Keith,690993,777121,"Keith, Colt",L,40.0,34.0,6.0,5.0,1.0,0.0,0.0,3.0,11.0,0.1764705882352941,0.2058823529411764
Detroit Tigers,home,Colt Keith,690993,777121,"Keith, Colt",R,252.0,218.0,62.0,37.0,15.0,2.0,8.0,31.0,47.0,0.2844036697247706,0.481651376146789
Detroit Tigers,home,Gleyber Torres,650402,777121,"Torres, Gleyber",L,87.0,70.0,21.0,10.0,8.0,0.0,3.0,16.0,7.0,0.3,0.5428571428571428
Detroit Tigers,home,Gleyber Torres,650402,777121,"Torres, Gleyber",R,269.0,223.0,61.0,47.0,8.0,0.0,6.0,39.0,39.0,0.273542600896861,0.3901345291479821
Detroit Tigers,home,Riley Greene,682985,777121,"Greene, Riley",L,118.0,102.0,23.0,16.0,6.0,0.0,1.0,12.0,38.0,0.2254901960784313,0.3137254901960784
