team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba
Detroit Tigers,home,Colt Keith,690993,777951,"Keith, Colt",2025.0,23.0,103.0,122.0,22.0,16.0,2.0,0.0,4.0,25.0,19.0,20.5,15.6,0.214,0.35,0.336,0.686,0.269,0.471,0.315,0.374
Detroit Tigers,home,Riley Greene,682985,777951,"Greene, Riley",2025.0,24.0,152.0,165.0,39.0,24.0,6.0,0.0,9.0,48.0,12.0,29.1,7.3,0.257,0.474,0.315,0.789,0.249,0.49,0.343,0.339
Detroit Tigers,home,Spencer Torkelson,679529,777951,"Torkelson, Spencer",2025.0,25.0,146.0,173.0,36.0,15.0,11.0,0.0,10.0,43.0,21.0,24.9,12.1,0.247,0.527,0.347,0.874,0.256,0.562,0.374,0.389
Detroit Tigers,home,Zach McKinstry,656716,777951,"McKinstry, Zach",2025.0,30.0,124.0,147.0,34.0,24.0,6.0,3.0,1.0,41.0,20.0,27.9,13.6,0.274,0.395,0.37,0.765,0.238,0.336,0.34,0.308
Detroit Tigers,home,Dillon Dingler,693307,777951,"Dingler, Dillon",2025.0,26.0,106.0,109.0,30.0,20.0,5.0,1.0,4.0,31.0,1.0,28.4,0.9,0.283,0.462,0.303,0.765,0.274,0.474,0.333,0.328
Detroit Tigers,home,Trey Sweeney,700242,777951,"Sweeney, Trey",2025.0,25.0,126.0,140.0,32.0,25.0,3.0,1.0,3.0,30.0,14.0,21.4,10.0,0.254,0.365,0.329,0.694,0.241,0.376,0.313,0.308
Detroit Tigers,home,Javier Báez,595879,777951,"Báez, Javier",2025.0,32.0,110.0,116.0,33.0,22.0,8.0,0.0,3.0,28.0,4.0,24.1,3.4,0.3,0.455,0.336,0.791,0.241,0.38,0.348,0.288
Boston Red Sox,away,Jarren Duran,680776,777951,"Duran, Jarren",2025.0,28.0,180.0,194.0,46.0,31.0,9.0,4.0,2.0,40.0,10.0,20.6,5.2,0.256,0.383,0.304,0.687,0.27,0.4,0.304,0.315
Boston Red Sox,away,Rafael Devers,646240,777951,"Devers, Rafael",2025.0,28.0,157.0,191.0,44.0,25.0,12.0,0.0,7.0,47.0,31.0,24.6,16.2,0.28,0.49,0.398,0.888,0.291,0.557,0.386,0.415
Boston Red Sox,away,Alex Bregman,608324,777951,"Bregman, Alex",2025.0,31.0,164.0,185.0,51.0,27.0,15.0,0.0,9.0,35.0,15.0,18.9,8.1,0.311,0.567,0.384,0.951,0.264,0.494,0.41,0.36
