player_id,player_name,Pitcher Handedness,pa,ab,hit,single,double,triple,home_run,walk,strikeout,batting_avg,slg_percent
641857,"McMahon, Ryan",R,353,299,69,39,15,1,14,48,107,0.23076923076923078,0.4280936454849498
642086,"Smith, Dominic",L,19,18,3,2,1,0,0,1,2,0.16666666666666666,0.2222222222222222
642086,"Smith, Dominic",R,126,110,34,24,7,0,3,12,24,0.3090909090909091,0.45454545454545453
642201,"White, Eli",L,81,77,16,11,3,0,2,4,20,0.2077922077922078,0.3246753246753247
642201,"White, Eli",R,160,145,38,25,5,3,5,7,38,0.2620689655172414,0.4413793103448276
642715,"Adames, Willy",L,127,111,18,10,2,1,5,13,38,0.16216216216216217,0.3333333333333333
642715,"Adames, Willy",R,381,328,82,52,16,1,13,43,93,0.25,0.42378048780487804
643217,"Benintendi, Andrew",L,72,68,17,7,4,1,5,1,18,0.25,0.5588235294117647
643217,"Benintendi, Andrew",R,286,248,55,36,9,1,9,29,42,0.2217741935483871,0.375
643396,"Kiner-Falefa, Isiah",L,94,88,21,19,1,0,1,3,14,0.23863636363636365,0.2840909090909091
643396,"Kiner-Falefa, Isiah",R,281,254,74,57,15,2,0,17,46,0.29133858267716534,0.3661417322834646
643446,"McNeil, Jeff",L,61,50,16,11,3,2,0,9,7,0.32,0.46
643446,"McNeil, Jeff",R,245,210,50,30,9,2,9,28,23,0.23809523809523808,0.42857142857142855
645277,"Albies, Ozzie",L,129,122,31,24,7,0,0,5,15,0.2540983606557377,0.3114754098360656
645277,"Albies, Ozzie",R,374,324,70,52,8,1,9,44,64,0.21604938271604937,0.33024691358024694
646240,"Devers, Rafael",L,180,158,40,25,9,0,6,18,49,0.25316455696202533,0.4240506329113924
646240,"Devers, Rafael",R,360,289,75,40,18,0,17,65,89,0.25951557093425603,0.4982698961937716
647304,"Naylor, Josh",L,144,134,40,28,7,1,4,7,24,0.29850746268656714,0.4552238805970149
647304,"Naylor, Josh",R,310,267,78,52,15,0,11,34,39,0.29213483146067415,0.47191011235955055
650333,"Arraez, Luis",L,160,144,39,33,3,0,3,5,7,0.2708333333333333,0.3541666666666667
650333,"Arraez, Luis",R,346,318,96,69,20,4,3,22,7,0.3018867924528302,0.41823899371069184
650402,"Torres, Gleyber",L,121,99,28,14,9,0,5,20,10,0.2828282828282828,0.5252525252525253
650402,"Torres, Gleyber",R,337,285,76,59,9,0,8,43,56,0.26666666666666666,0.3824561403508772
650490,"Díaz, Yandy",L,139,122,33,17,7,0,9,13,11,0.27049180327868855,0.5491803278688525
650490,"Díaz, Yandy",R,361,319,93,67,14,1,11,30,61,0.29153605015673983,0.445141065830721
650859,"Rengifo, Luis",L,86,83,19,15,1,1,2,2,16,0.2289156626506024,0.3373493975903614
650859,"Rengifo, Luis",R,337,301,79,60,13,1,5,25,59,0.26245847176079734,0.36212624584717606
656775,"Mullins, Cedric",L,108,91,27,17,7,0,3,14,17,0.2967032967032967,0.4725274725274725
656775,"Mullins, Cedric",R,281,249,51,25,13,0,13,27,75,0.20481927710843373,0.41365461847389556
656811,"O'Hearn, Ryan",L,66,57,14,8,4,1,1,9,15,0.24561403508771928,0.40350877192982454
656811,"O'Hearn, Ryan",R,324,272,77,53,11,0,13,41,55,0.28308823529411764,0.46691176470588236
656941,"Schwarber, Kyle",L,195,161,42,18,7,1,16,31,53,0.2608695652173913,0.6149068322981367
